code,entry_date,exit_date,entry_price,exit_price,pnl_pct,hold_days,exit_reason,entry_score,concurrent_positions,market_state_at_entry
512170,2025-09-03,2025-09-04,0.388,0.389,0.0015760309278350538,20,到期,1.0,1,trend
512170,2025-10-15,2025-10-16,0.378,0.378,-0.001,20,到期,1.0,1,range
512170,2026-02-12,2026-02-13,0.358,0.357,-0.0037918994413407847,20,到期,1.0,1,trend
512170,2026-05-12,2026-06-01,0.34,0.31,-0.08919117647058832,15,期末平仓,1.0,1,range
512400,2024-01-29,2024-01-30,0.858,0.856,-0.003329836829836832,20,到期,1.0,1,range
512400,2024-03-21,2024-03-22,1.006,0.999,-0.00795477137176939,20,到期,1.0,1,trend
512400,2024-04-23,2024-04-24,1.012,1.004,-0.008901185770750995,20,到期,1.0,1,trend
512400,2024-06-06,2024-06-07,1.017,1.028,0.009810717797443582,20,到期,1.0,1,range
512400,2024-10-29,2024-10-30,1.037,1.032,-0.0058191899710702925,20,到期,1.0,1,trend
512400,2024-11-29,2024-12-02,1.016,1.017,-1.6240157480423498e-05,20,到期,1.0,1,trend
512400,2025-01-08,2025-01-09,0.969,0.966,-0.004094427244582046,20,到期,1.0,1,range
512400,2025-03-05,2025-03-06,1.025,1.028,0.0019253658536586475,20,到期,1.0,1,trend
512400,2025-04-03,2025-04-07,1.038,0.968,-0.06840366088631991,20,到期,1.0,1,trend
512400,2025-05-22,2025-05-23,1.053,1.051,-0.0028983855650522336,20,到期,1.0,1,trend
512400,2025-06-24,2025-06-25,1.088,1.091,0.0017559742647057825,20,到期,1.0,1,trend
512400,2025-07-24,2025-07-25,1.273,1.267,-0.005710919088766697,20,到期,1.0,1,trend
512400,2025-08-25,2025-08-26,1.431,1.426,-0.004492313067784847,20,到期,1.0,1,trend
512400,2025-09-23,2025-09-24,1.483,1.474,-0.007065745111261037,20,到期,1.0,1,trend
512400,2025-10-30,2025-10-31,1.784,1.776,-0.005482062780269062,20,到期,1.0,1,trend
512400,2025-11-28,2025-12-01,1.704,1.748,0.02480868544600941,20,到期,1.0,1,trend
512400,2025-12-29,2025-12-30,1.878,1.816,-0.03399733759318415,20,到期,1.0,1,trend
512400,2026-01-30,2026-02-02,2.339,2.105,-0.10099273193672509,20,到期,1.0,1,trend
512400,2026-03-11,2026-03-12,2.271,2.25,-0.010242404227212641,20,到期,1.0,1,trend
512400,2026-05-21,2026-05-22,1.947,1.951,0.0010534155110426314,11,止损,1.0,1,range
512660,2021-11-26,2021-11-29,1.414,1.399,-0.011602899575671784,20,到期,1.0,1,trend
512660,2021-12-27,2021-12-28,1.383,1.383,-0.001,20,到期,1.0,1,trend
512660,2022-01-20,2022-01-21,1.263,1.247,-0.013661916072842275,14,止损,1.0,1,range
512660,2022-06-29,2022-06-30,1.163,1.161,-0.002718830610490113,20,到期,1.0,1,trend
512660,2022-07-29,2022-08-01,1.191,1.195,0.002356842989084806,20,到期,1.0,1,trend
512660,2022-08-31,2022-09-01,1.137,1.135,-0.0027581354441512766,20,到期,1.0,1,range
512660,2022-10-14,2022-10-17,1.124,1.13,0.004335409252668846,20,到期,1.0,1,range
512660,2022-11-21,2022-11-22,1.17,1.167,-0.00356282051282042,20,到期,1.0,1,trend
512660,2023-03-02,2023-03-03,1.145,1.146,-0.0001270742358079563,20,到期,1.0,1,trend
512660,2023-03-31,2023-04-03,1.091,1.091,-0.001,20,到期,1.0,1,range
512660,2023-05-10,2023-05-11,1.083,1.083,-0.001,20,到期,1.0,1,range
512660,2023-07-20,2023-07-21,1.07,1.069,-0.0019341121495328145,20,到期,1.0,1,range
512660,2023-12-13,2023-12-14,0.963,0.968,0.004189511941848395,20,到期,1.0,1,range
512660,2024-03-29,2024-04-01,0.9,0.905,0.004552777777777782,20,到期,1.0,1,trend
512660,2024-05-06,2024-05-07,0.899,0.897,-0.0032235817575083443,20,到期,1.0,1,trend
512660,2024-06-05,2024-06-06,0.916,0.917,9.115720524017568e-05,20,到期,1.0,1,trend
512660,2024-07-09,2024-07-10,0.847,0.844,-0.004540141676505316,20,到期,1.0,1,range
512660,2024-08-23,2024-08-26,0.832,0.83,-0.003402644230769233,20,到期,1.0,1,range
512660,2024-11-06,2024-11-07,1.161,1.143,-0.016496124031007767,20,到期,1.0,1,trend
512660,2024-12-05,2024-12-06,1.068,1.071,0.00180758426966282,20,到期,1.0,1,trend
512660,2025-01-08,2025-01-09,0.965,0.961,-0.005143005181347154,20,到期,1.0,1,range
512660,2025-03-20,2025-03-21,1.082,1.078,-0.0046950092421441806,20,到期,1.0,1,trend
512660,2025-06-09,2025-06-10,1.062,1.061,-0.0019411487758946439,20,到期,1.0,1,trend
512660,2025-07-09,2025-07-10,1.116,1.113,-0.003686827956989349,20,到期,1.0,1,trend
512660,2025-08-08,2025-08-11,1.234,1.234,-0.0009999999999999998,20,到期,1.0,1,trend
512660,2025-09-08,2025-09-09,1.193,1.19,-0.003513411567477044,20,到期,1.0,1,trend
