date,close,v7_vwap_dist,future_return_5d
2024-07-08,0.689,-0.04654764144003132,0.062409288824383236
2024-07-09,0.718,-0.005079035646106102,0.048746518105849734
2024-07-10,0.716,-0.006889789222858773,0.03910614525139677
2024-07-11,0.724,0.005381330514787553,0.03453038674033149
2024-07-12,0.729,0.012696835630094853,0.053497942386831365
2024-07-15,0.732,0.017635659970014084,0.051912568306010876
2024-07-16,0.753,0.04637122505927639,-0.026560424966799445
2024-07-17,0.744,0.03407216074498666,-0.029569892473118253
2024-07-18,0.749,0.042434990670942814,-0.04539385847797062
2024-07-19,0.768,0.06642595045429056,-0.06380208333333337
2024-07-22,0.77,0.06742632749423613,-0.07792207792207795
2024-07-23,0.733,0.01300225063035375,-0.019099590723056004
2024-07-24,0.722,-0.0033363745849017555,0.03462603878116344
2024-07-25,0.715,-0.01316852695374517,0.05034965034965033
2024-07-26,0.719,-0.007848895746885166,0.013908205841446364
2024-07-29,0.71,-0.021061143759518067,-0.022535211267605604
2024-07-30,0.719,-0.009332293796470334,-0.026425591098748313
2024-07-31,0.747,0.026669150281341224,-0.07228915662650603
2024-08-01,0.751,0.028832216811924556,-0.07190412782956068
2024-08-02,0.729,-0.004159201979770652,-0.04389574759945136
2024-08-05,0.694,-0.05157919361298674,-0.004322766570605152
2024-08-06,0.7,-0.043384227102097654,-0.004285714285714337
2024-08-07,0.693,-0.05200053378299964,-0.00721500721500723
2024-08-08,0.697,-0.04490903919704816,-0.00717360114777621
2024-08-09,0.697,-0.043741157230322,-0.010043041606886627
2024-08-12,0.691,-0.050274908018895996,-0.0028943560057886897
2024-08-13,0.697,-0.03921136183512569,-0.028694404591104616
2024-08-14,0.688,-0.04904242436904981,-0.021802325581395166
2024-08-15,0.692,-0.04013738222888745,-0.041907514450866934
2024-08-16,0.69,-0.03745548240339073,-0.04492753623188395
2024-08-19,0.689,-0.03419380799981367,-0.04499274310595058
2024-08-20,0.677,-0.04624840169080811,-0.04431314623338256
2024-08-21,0.673,-0.04883094702991569,-0.03714710252600295
2024-08-22,0.663,-0.06015376586371996,-0.010558069381598756
2024-08-23,0.659,-0.0626997456565217,0.03186646433990892
2024-08-26,0.658,-0.06181167039835561,-0.006079027355623157
2024-08-27,0.647,-0.0740978109184336,0.018547140649149974
2024-08-28,0.648,-0.06679056521696296,0.0092592592592593
2024-08-29,0.656,-0.046808275876912185,-0.004573170731707266
2024-08-30,0.68,-0.0054252490162963116,-0.05441176470588238
2024-09-02,0.654,-0.03877809190812669,-0.022935779816513735
2024-09-03,0.659,-0.028268810793741543,-0.02124430955993928
2024-09-04,0.654,-0.0328568776290543,-0.016819571865443472
2024-09-05,0.653,-0.031148488188795804,-0.027565084226646275
2024-09-06,0.643,-0.04187698109825925,-0.02488335925349927
2024-09-09,0.639,-0.04477834778037306,-0.023474178403755874
2024-09-10,0.645,-0.03182739856264845,-0.024806201550387597
2024-09-11,0.643,-0.03196199711536698,-0.027993779160186638
2024-09-12,0.635,-0.03972414471617085,-0.025196850393700787
2024-09-13,0.627,-0.04731490547693416,0.02551834130781505
2024-09-18,0.624,-0.04746496422235529,0.03685897435897445
2024-09-19,0.629,-0.03483399082058177,0.07790143084260737
2024-09-20,0.625,-0.03702638377997058,0.1552
2024-09-23,0.619,-0.04307163854425827,0.28271405492730217
2024-09-24,0.643,-0.003066196427663859,0.35769828926905123
2024-09-25,0.647,0.0027519448802136477,0.48377125193199366
2024-09-26,0.678,0.04782327299773517,0.3643067846607668
2024-09-27,0.722,0.10841140830148699,0.21052631578947367
2024-09-30,0.794,0.19409860085629735,0.14483627204030225
2024-10-08,0.873,0.29887013559720055,0.021764032073310347
