date,close,v8_cmf,future_return_5d
2022-09-06,0.931,0.010812860819689499,-0.008592910848549962
2022-09-07,0.925,0.024565482960426564,-0.00324324324324321
2022-09-08,0.922,-0.13931835196222192,-0.057483731019522866
2022-09-09,0.939,-0.10614492141998298,-0.0851970181043663
2022-09-13,0.937,-0.11348585206877823,-0.08324439701173969
2022-09-14,0.923,-0.10895606003998626,-0.06825568797399784
2022-09-15,0.922,-0.18022756609561785,-0.07266811279826468
2022-09-16,0.869,-0.2391225757991387,-0.014959723820483273
2022-09-19,0.859,-0.22432342392071755,-0.024447031431897526
2022-09-20,0.859,-0.23388657866777982,-0.016298020954598424
2022-09-21,0.86,-0.1941100560004431,-0.03372093023255818
2022-09-22,0.855,-0.14383594634756117,-0.040935672514619936
2022-09-23,0.856,-0.20262038270807664,-0.04672897196261683
2022-09-26,0.838,-0.20639551909586068,-0.03579952267303088
2022-09-27,0.845,-0.20018424482841174,-0.03431952662721893
2022-09-28,0.831,-0.24194420079590268,0.004813477737665384
2022-09-29,0.82,-0.28040656395778435,0.012195121951219523
2022-09-30,0.816,-0.28877262461883435,0.035539215686274606
2022-10-10,0.808,-0.30488417584742294,0.05074257425742568
2022-10-11,0.816,-0.34295384933770423,0.035539215686274606
2022-10-12,0.835,-0.3329630751211111,0.0023952095808383866
2022-10-13,0.83,-0.33296164351295654,0.012048192771084265
2022-10-14,0.845,-0.2724203196559405,-0.0011834319526626835
2022-10-17,0.849,-0.2992275316765595,-0.027090694935217874
2022-10-18,0.845,-0.29518064202164784,-0.04023668639053246
2022-10-19,0.837,-0.29659121821096884,-0.022700119474313052
2022-10-20,0.84,-0.28955897344496895,-0.021428571428571463
2022-10-21,0.844,-0.23396061861721773,-0.04739336492890989
2022-10-24,0.826,-0.267668770274294,-0.025423728813559254
2022-10-25,0.811,-0.255696046355957,0.023427866831072564
2022-10-26,0.818,-0.30043831880489047,0.017114914425427896
2022-10-27,0.822,-0.3049980488672078,0.006082725060827299
2022-10-28,0.804,-0.3327048662880224,0.05721393034825861
2022-10-31,0.805,-0.29900355996509154,0.05341614906832293
2022-11-01,0.83,-0.25870847796393776,0.01807228915662651
2022-11-02,0.832,-0.1999346234579159,0.012019230769230838
2022-11-03,0.827,-0.16322513356077098,0.025392986698911768
2022-11-04,0.85,-0.06124811223862499,0.022352941176470686
2022-11-07,0.848,-0.029751425906012884,0.03301886792452824
2022-11-08,0.845,-0.03750307533697951,0.0745562130177515
2022-11-09,0.842,-0.11424212283122429,0.05938242280285033
2022-11-10,0.848,-0.07938861364889849,0.05660377358490565
2022-11-11,0.869,-0.10416642514415435,0.017261219792865434
2022-11-14,0.876,-0.16261483449768482,-0.007990867579908634
2022-11-15,0.908,-0.07066214040403458,-0.04185022026431717
2022-11-16,0.892,-0.08105069282324016,-0.023542600896861
2022-11-17,0.896,-0.03701909742484775,-0.03236607142857151
