date,close,v9_ad_osc,future_return_5d
2025-01-03,3.658,-17160538.518980294,-0.012575177692728201
2025-01-06,3.642,-19191119.43258798,-0.012355848434925876
2025-01-07,3.669,-20451285.334762752,0.007086399563913881
2025-01-08,3.663,-20916988.86523813,0.002457002457002533
2025-01-09,3.655,-20982156.555459887,0.005198358413132764
2025-01-10,3.612,-22107023.589499444,0.020764119601328845
2025-01-13,3.597,-22684177.749978304,0.030303030303030276
2025-01-14,3.695,-22939568.491737306,0.004330175913396461
2025-01-15,3.672,-22649271.785200298,0.0008169934640522847
2025-01-16,3.674,-22216361.748876154,0.003266194882961315
2025-01-17,3.687,-21993090.85332422,0.00840791971792787
2025-01-20,3.706,-21900979.156278223,-0.002698327037236825
2025-01-21,3.711,-21386717.989371657,-0.00943142010239817
2025-01-22,3.675,-21585505.1810084,0.012517006802721165
2025-01-23,3.686,-21625584.592631385,0.024688008681497564
2025-01-24,3.718,-21876960.235263616,0.016944593867670887
2025-01-27,3.696,-22043566.80014941,0.018668831168831224
2025-02-05,3.676,-22531152.462178037,0.03454842219804122
2025-02-06,3.721,-21756177.55810702,0.019349637194302716
2025-02-07,3.777,-20237852.141189113,0.012178978024887321
2025-02-10,3.781,-18189554.814873993,0.012959534514678683
2025-02-11,3.765,-16148347.25536719,0.009561752988047845
2025-02-12,3.803,-14358704.242495582,0.004996055745464245
2025-02-13,3.793,-13551872.34927164,0.004481940416556807
2025-02-14,3.823,-12522145.877407596,0.010724561862411663
2025-02-17,3.83,-10677115.041400805,0.00548302872062667
2025-02-18,3.801,-9409041.151332498,0.0023677979479084232
2025-02-19,3.822,-8732841.218622804,0.005494505494505475
2025-02-20,3.81,-7971548.554331899,0.012073490813648169
2025-02-21,3.864,-6789966.7692076415,-0.020962732919254656
2025-02-24,3.851,-5525468.510143369,-0.021033497792781075
2025-02-25,3.81,-4285628.189415082,-0.011548556430446166
2025-02-26,3.843,-2932351.396245271,-0.015612802498048417
2025-02-27,3.856,-917301.3714019954,-0.004668049792531104
2025-02-28,3.783,1296670.5121762007,0.011895321173671647
2025-03-03,3.77,3173331.826307997,0.011140583554376526
2025-03-04,3.766,5563580.116803691,0.015400955921401893
2025-03-05,3.783,8586132.928025186,0.008194554586307135
2025-03-06,3.838,10770377.632619604,-0.011464304325169317
2025-03-07,3.828,12112580.170586422,0.017502612330198675
2025-03-10,3.812,13042178.13794133,0.01862539349422887
2025-03-11,3.824,14376125.831414238,0.01778242677824271
2025-03-12,3.814,15439064.492866844,0.02202412165705292
2025-03-13,3.794,16972497.68384327,0.0187137585661572
2025-03-14,3.895,18407487.607482553,-0.024646983311938375
2025-03-17,3.883,19180907.523658574,-0.01725469997424678
2025-03-18,3.892,20234344.90852958,-0.01901336073997939
2025-03-19,3.898,21374981.66672629,-0.024628014366341766
2025-03-20,3.865,22258778.02633217,-0.012677878395860431
2025-03-21,3.799,22261802.490157545,-0.0005264543300868008
2025-03-24,3.816,22523731.774816215,-0.01126834381551356
2025-03-25,3.818,22846916.282765508,-0.012310110005238406
2025-03-26,3.802,22369467.741270363,-0.008942661756970116
2025-03-27,3.816,21346838.97939548,-0.017819706498951704
2025-03-28,3.797,20482447.45845595,-0.08243350013168294
2025-03-31,3.773,19959160.546073258,-0.06732043466737347
2025-04-01,3.771,18757292.9902454,-0.05727923627684961
2025-04-02,3.768,16961866.978966027,-0.039808917197452165
2025-04-03,3.748,15077929.732943714,-0.031750266808964867
2025-04-07,3.484,13258519.160030127,0.04391504018369696
2025-04-08,3.519,12553095.329980701,0.03438476840011373
2025-04-09,3.555,11657583.765314281,0.026441631504922514
2025-04-10,3.618,11231498.463004112,0.009397457158651257
2025-04-11,3.629,10860188.440301776,0.009093414163681368
2025-04-14,3.637,9786756.770701319,0.007423700852350779
2025-04-15,3.64,9377306.625022858,0.007417582417582391
2025-04-16,3.649,9192427.048170894,0.006029049054535385
