date,close,volume,v6_turnover,future_return_5d
2023-12-11,0.888,636454,0.834762905281926,-0.029279279279279313
2023-12-12,0.887,386522,0.5133828570168668,-0.03269447576099216
2023-12-13,0.87,566336,0.8043846759617399,-0.01379310344827589
2023-12-14,0.87,639218,0.9393174930833456,-0.0045977011494252595
2023-12-15,0.875,542899,0.8030912487300514,0.010285714285714231
2023-12-18,0.862,483033,0.7290655324007114,0.03248259860788871
2023-12-19,0.858,375481,0.5805384391554107,0.034965034965035
2023-12-20,0.858,549819,0.8850330596232189,0.03962703962703973
2023-12-21,0.866,635198,1.053744279412987,0.06004618937644346
2023-12-22,0.884,865686,1.4065567042269038,0.040723981900452566
2023-12-25,0.89,492122,0.8021534109718793,0.03370786516853941
2023-12-26,0.888,377974,0.6153203992662206,0.03828828828828823
2023-12-27,0.892,570841,0.9199926573484615,0.02130044843049328
2023-12-28,0.918,953032,1.4871039801867603,-0.013071895424836666
2023-12-29,0.92,810114,1.2424420120035216,-0.02826086956521745
2024-01-02,0.92,736987,1.1592926931418448,-0.016304347826086918
2024-01-03,0.922,790975,1.2446373474759655,-0.02386117136659438
2024-01-04,0.911,575278,0.9332677495560604,0.005488474204171201
2024-01-05,0.906,817483,1.3230799384297813,0.0055187637969094094
2024-01-08,0.894,550225,0.8906432241632734,0.007829977628635243
2024-01-09,0.905,643538,1.041091063719504,-0.0044198895027623974
2024-01-10,0.9,550980,0.8796525390032697,-0.03222222222222226
2024-01-11,0.916,788253,1.2365590891806315,-0.04912663755458524
2024-01-12,0.911,741864,1.154492038535979,-0.04939626783754125
2024-01-15,0.901,721378,1.1072349203135685,-0.08435072142064381
2024-01-16,0.901,794502,1.1910029658822356,-0.07214206437291903
2024-01-17,0.871,699939,1.024336852383415,-0.027554535017221604
2024-01-18,0.871,895474,1.2781673331623826,0.0011481056257176547
2024-01-19,0.866,794647,1.121488428860262,0.010392609699769073
2024-01-22,0.825,1092802,1.5179483731812573,0.040000000000000036
2024-01-23,0.836,970906,1.3052274918546458,0.0071770334928229484
2024-01-24,0.847,922422,1.1962696574423992,-0.0365997638724912
2024-01-25,0.872,1033089,1.3008011640474926,-0.06307339449541294
2024-01-26,0.875,639081,0.8209166164256156,-0.09028571428571419
2024-01-29,0.858,718476,0.9283655781555842,-0.09673659673659674
2024-01-30,0.842,576237,0.7523879962779947,-0.029691211401425166
2024-01-31,0.816,737371,0.9661604519670374,0.04289215686274517
2024-02-01,0.817,517365,0.6804733805637132,0.05263157894736836
2024-02-02,0.796,1050294,1.360586411818554,0.0879396984924623
2024-02-05,0.775,869277,1.1032907631380968,0.1238709677419354
2024-02-06,0.817,914185,1.140696390226884,0.07711138310893517
2024-02-07,0.851,1188423,1.4261659301865446,0.04347826086956519
2024-02-08,0.86,866353,1.0348167726095514,0.04418604651162794
2024-02-19,0.866,660369,0.7926366789316667,0.026558891454965483
2024-02-20,0.871,534874,0.6492731344082568,0.029850746268656803
2024-02-21,0.88,1003862,1.2032785938116368,0.007954545454545547
2024-02-22,0.888,691269,0.8290199496593346,0.024774774774774855
2024-02-23,0.898,568766,0.695735332721552,0.024498886414253906
2024-02-26,0.889,659731,0.8137216351718443,0.04049493813273353
2024-02-27,0.897,561440,0.7159493974351863,0.030100334448160515
2024-02-28,0.887,776918,1.0031348367138586,0.04735062006764368
